DATE,CNP16OV
1960-01-01,116707.666666666667
1960-04-01,117036.666666666667
1960-07-01,117411.000000000000
1960-10-01,117824.333333333333
1961-01-01,118254.333333333333
1961-04-01,118636.000000000000
1961-07-01,119000.666666666667
1961-10-01,119189.666666666667
1962-01-01,119378.666666666667
1962-04-01,119819.333333333333
1962-07-01,120368.000000000000
1962-10-01,121045.666666666667
1963-01-01,121640.000000000000
1963-04-01,122166.666666666667
1963-07-01,122669.666666666667
1963-10-01,123188.666666666667
1964-01-01,123708.000000000000
1964-04-01,124203.000000000000
1964-07-01,124739.333333333333
1964-10-01,125289.000000000000
1965-01-01,125814.000000000000
1965-04-01,126324.666666666667
1965-07-01,126745.000000000000
1965-10-01,127169.333333333333
1966-01-01,127511.333333333333
1966-04-01,127868.666666666667
1966-07-01,128233.666666666667
1966-10-01,128617.000000000000
1967-01-01,129043.666666666667
1967-04-01,129527.000000000000
1967-07-01,130165.666666666667
1967-10-01,130757.333333333333
1968-01-01,131267.000000000000
1968-04-01,131712.333333333333
1968-07-01,132250.000000000000
1968-10-01,132880.000000000000
1969-01-01,133476.000000000000
1969-04-01,134020.333333333333
1969-07-01,134595.000000000000
1969-10-01,135246.666666666667
1970-01-01,135949.666666666667
1970-04-01,136676.666666666667
1970-07-01,137456.000000000000
1970-10-01,138260.333333333333
1971-01-01,139033.666666666667
1971-04-01,139827.333333333333
1971-07-01,140602.666666666667
1971-10-01,141401.666666666667
1972-01-01,143005.333333333333
1972-04-01,143758.666666666667
1972-07-01,144522.666666666667
1972-10-01,145215.000000000000
1973-01-01,145964.333333333333
1973-04-01,146719.666666666667
1973-07-01,147478.333333333333
1973-10-01,148226.000000000000
1974-01-01,148986.666666666667
1974-04-01,149746.666666666667
1974-07-01,150498.000000000000
1974-10-01,151253.000000000000
1975-01-01,151987.333333333333
1975-04-01,152707.666666666667
1975-07-01,153579.000000000000
1975-10-01,154336.333333333333
1976-01-01,155075.000000000000
1976-04-01,155773.666666666667
1976-07-01,156526.666666666667
1976-10-01,157222.000000000000
1977-01-01,157910.666666666667
1977-04-01,158652.333333333333
1977-07-01,159429.666666666667
1977-10-01,160140.333333333333
1978-01-01,160828.666666666667
1978-04-01,161525.333333333333
1978-07-01,162265.000000000000
1978-10-01,163024.000000000000
1979-01-01,163756.333333333333
1979-04-01,164447.333333333333
1979-07-01,165199.666666666667
1979-10-01,166054.666666666667
1980-01-01,166762.333333333333
1980-04-01,167415.666666666667
1980-07-01,168110.666666666667
1980-10-01,168693.666666666667
1981-01-01,169279.000000000000
1981-04-01,169837.333333333333
1981-07-01,170412.666666666667
1981-10-01,170990.333333333333
1982-01-01,171497.000000000000
1982-04-01,172020.000000000000
1982-07-01,172521.666666666667
1982-10-01,173046.000000000000
1983-01-01,173505.000000000000
1983-04-01,173957.333333333333
1983-07-01,174449.333333333333
1983-10-01,174950.333333333333
1984-01-01,175678.666666666667
1984-04-01,176125.333333333333
1984-07-01,176595.333333333333
1984-10-01,177132.333333333333
1985-01-01,177522.333333333333
1985-04-01,177946.333333333333
1985-07-01,178413.333333333333
1985-10-01,178940.666666666667
1986-01-01,179825.333333333333
1986-04-01,180320.666666666667
1986-07-01,180835.666666666667
1986-10-01,181365.333333333333
1987-01-01,182001.333333333333
1987-04-01,182526.666666666667
1987-07-01,183016.000000000000
1987-10-01,183467.000000000000
1988-01-01,183967.333333333333
1988-04-01,184389.333333333333
1988-07-01,184840.333333333333
1988-10-01,185253.333333333333
1989-01-01,185772.666666666667
1989-04-01,186178.000000000000
1989-07-01,186602.333333333333
1989-10-01,187017.666666666667
1990-01-01,188519.666666666667
1990-04-01,188916.333333333333
1990-07-01,189352.666666666667
1990-10-01,189866.333333333333
1991-01-01,190271.666666666667
1991-04-01,190655.666666666667
1991-07-01,191121.333333333333
1991-10-01,191650.666666666667
1992-01-01,192074.666666666667
1992-04-01,192506.666666666667
1992-07-01,193024.333333333333
1992-10-01,193615.666666666667
1993-01-01,194106.000000000000
1993-04-01,194555.333333333333
1993-07-01,195068.000000000000
1993-10-01,195621.000000000000
1994-01-01,196085.333333333333
1994-04-01,196522.000000000000
1994-07-01,197050.000000000000
1994-10-01,197600.666666666667
1995-01-01,197882.000000000000
1995-04-01,198295.666666666667
1995-07-01,198807.000000000000
1995-10-01,199351.666666666667
1996-01-01,199776.000000000000
1996-04-01,200279.333333333333
1996-07-01,200849.666666666667
1996-10-01,201457.333333333333
1997-01-01,202395.666666666667
1997-04-01,202835.333333333333
1997-07-01,203366.666666666667
1997-10-01,203935.333333333333
1998-01-01,204395.000000000000
1998-04-01,204905.000000000000
1998-07-01,205482.666666666667
1998-10-01,206097.666666666667
1999-01-01,206876.000000000000
1999-04-01,207431.666666666667
1999-07-01,208043.666666666667
1999-10-01,208660.333333333333
2000-01-01,211586.000000000000
2000-04-01,212242.000000000000
2000-07-01,212918.666666666667
2000-10-01,213560.333333333333
2001-01-01,214101.000000000000
2001-04-01,214735.666666666667
2001-07-01,215421.666666666667
2001-10-01,216111.666666666667
2002-01-01,216664.000000000000
2002-04-01,217203.666666666667
2002-07-01,217867.666666666667
2002-10-01,218543.000000000000
2003-01-01,220109.333333333333
2003-04-01,220774.000000000000
2003-07-01,221512.666666666667
2003-10-01,222275.666666666667
2004-01-01,222356.000000000000
2004-04-01,222973.333333333333
2004-07-01,223680.000000000000
2004-10-01,224418.000000000000
2005-01-01,225038.000000000000
2005-04-01,225674.000000000000
2005-07-01,226422.333333333333
2005-10-01,227196.000000000000
2006-01-01,227763.666666666667
2006-04-01,228432.666666666667
2006-07-01,229166.333333333333
2006-10-01,229896.000000000000
2007-01-01,230839.333333333333
2007-04-01,231482.000000000000
2007-07-01,232210.000000000000
2007-10-01,232936.666666666667
2008-01-01,232806.666666666667
2008-04-01,233410.000000000000
2008-07-01,234110.333333333333
2008-10-01,234825.000000000000
2009-01-01,234912.666666666667
2009-04-01,235459.333333333333
2009-07-01,236093.000000000000
2009-10-01,236739.000000000000
2010-01-01,236996.333333333333
2010-04-01,237506.000000000000
2010-07-01,238103.666666666667
2010-10-01,238711.333333333333
2011-01-01,238851.666666666667
2011-04-01,239316.000000000000
2011-07-01,239871.000000000000
2011-10-01,240431.333333333333
2012-01-01,242436.000000000000
2012-04-01,242968.333333333333
2012-07-01,243564.000000000000
2012-10-01,244169.000000000000
2013-01-01,244828.666666666667
2013-04-01,245363.333333333333
2013-07-01,245961.000000000000
2013-10-01,246564.333333333333
2014-01-01,247086.000000000000
2014-04-01,247625.000000000000
2014-07-01,248232.666666666667
2014-10-01,248842.666666666667
2015-01-01,249900.666666666667
2015-04-01,250461.333333333333
2015-07-01,251099.000000000000
2015-10-01,251741.333333333333
2016-01-01,252580.666666666667
2016-04-01,253180.000000000000
2016-07-01,253855.000000000000
2016-10-01,254534.333333333333
2017-01-01,254247.333333333333
2017-04-01,254770.666666666667
2017-07-01,255356.666666666667
2017-10-01,255941.333333333333
2018-01-01,256937.000000000000
2018-04-01,257456.000000000000
2018-07-01,258066.333333333333
2018-10-01,258703.333333333333
2019-01-01,258389.333333333333
2019-04-01,258863.666666666667
2019-07-01,259431.666666666667
2019-10-01,260015.333333333333
2020-01-01,259629.333333333333
2020-04-01,260049.000000000000
2020-07-01,260557.666666666667
2020-10-01,261080.000000000000
2021-01-01,260924.000000000000
2021-04-01,261217.000000000000
2021-07-01,261615.333333333333
2021-10-01,262024.333333333333
2022-01-01,263323.333333333333
2022-04-01,263691.000000000000
2022-07-01,264184.000000000000
2022-10-01,264695.666666666667
2023-01-01,266115.333333333333
2023-04-01,266620.666666666667
2023-07-01,267214.333333333333
2023-10-01,267818.333333333333
2024-01-01,267711.666666666667
2024-04-01,268250.666666666667
