"","date","pce_serv","pce_nondur","pce_price_index","pop","nom_dpi","nom_pce_serv_nondur","real_serv_nondur","real_dpi","real_serv_nondur_pc_lag0","real_serv_nondur_pc_lag1","real_serv_nondur_pc_lag2","real_serv_nondur_pc_lag3","real_serv_nondur_pc_lag4","real_dpi_pc_lag0","real_dpi_pc_lag1","real_dpi_pc_lag2","real_dpi_pc_lag3","real_dpi_pc_lag4"
"1",1960-01-01,151.304,129.605,15.435,116707.666666667,371.333333333333,280.909,1819.94816974409,2405.78771191016,15594.0755369749,NA,NA,NA,NA,20613.7932547433,NA,NA,NA,NA
"2",1960-04-01,153.813,131.961,15.515,117036.666666667,375.733333333333,285.774,1841.92072188205,2421.74239982812,15737.9800223467,15594.0755369749,NA,NA,NA,20692.1682648867,20613.7932547433,NA,NA,NA
"3",1960-07-01,154.623,131.58,15.574,117411,377.833333333333,286.203,1837.69744445871,2426.05196695347,15651.8336821824,15737.9800223467,15594.0755369749,NA,NA,20662.9018316297,20692.1682648867,20613.7932547433,NA,NA
"4",1960-10-01,156.921,132.413,15.642,117824.333333333,379.366666666667,289.334,1849.72509909219,2425.30793163705,15699.0075544004,15651.8336821824,15737.9800223467,15594.0755369749,NA,20584.1006099791,20662.9018316297,20692.1682648867,20613.7932547433,NA
"5",1961-01-01,158.878,133.401,15.671,118254.333333333,383.633333333333,292.279,1865.09476102355,2448.04628507009,15771.8935826753,15699.0075544004,15651.8336821824,15737.9800223467,15594.0755369749,20701.5355468588,20584.1006099791,20662.9018316297,20692.1682648867,20613.7932547433
"6",1961-04-01,161.891,134.245,15.67,118636,389.433333333333,296.136,1889.82769623484,2485.21591150819,15929.6309403119,15771.8935826753,15699.0075544004,15651.8336821824,15737.9800223467,20948.2443061818,20701.5355468588,20584.1006099791,20662.9018316297,20692.1682648867
"7",1961-07-01,163.156,134.596,15.726,119000.666666667,396.033333333333,297.752,1893.37403026835,2518.33481707576,15910.6170015995,15929.6309403119,15771.8935826753,15699.0075544004,15651.8336821824,21162.3588977856,20948.2443061818,20701.5355468588,20584.1006099791,20662.9018316297
"8",1961-10-01,166.742,136.167,15.743,119189.666666667,404.166666666667,302.909,1924.0868957632,2567.27857883927,16143.0680156546,15910.6170015995,15929.6309403119,15771.8935826753,15699.0075544004,21539.4392033924,21162.3588977856,20948.2443061818,20701.5355468588,20584.1006099791
"9",1962-01-01,169.287,137.832,15.811,119378.666666667,409.933333333333,307.119,1942.43880842451,2592.70971686379,16271.2389295506,16143.0680156546,15910.6170015995,15929.6309403119,15771.8935826753,21718.3671861845,21539.4392033924,21162.3588977856,20948.2443061818,20701.5355468588
"10",1962-04-01,172.666,138.745,15.867,119819.333333333,415.833333333333,311.411,1962.63313795929,2620.74326169618,16379.9370548934,16271.2389295506,16143.0680156546,15910.6170015995,15929.6309403119,21872.4573805244,21718.3671861845,21539.4392033924,21162.3588977856,20948.2443061818
"11",1962-07-01,174.806,139.96,15.91,120368,419.2,314.766,1978.41609050911,2634.82086737901,16436.3958071008,16379.9370548934,16271.2389295506,16143.0680156546,15910.6170015995,21889.7121110179,21872.4573805244,21718.3671861845,21539.4392033924,21162.3588977856
"12",1962-10-01,177.594,141.477,15.958,121045.666666667,424.2,319.071,1999.44228600075,2658.22784810127,16518.0823160467,16436.3958071008,16379.9370548934,16271.2389295506,16143.0680156546,21960.5370543453,21889.7121110179,21872.4573805244,21718.3671861845,21539.4392033924
